sf_id,company_name,industry,sub_industry,annual_revenue,employee_count,headquarters,full_name,title,department,role_type,authority_level,budget_authority,veto_power,tenure,previous_role,education,key_priorities,pain_points,source_file,extraction_confidence,m_a_score,m_a_rationale,ransomware_score,ransomware_rationale,overall_priority,engagement_approach,extraction_date,psi_version
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Kelly Ortberg,President & CEO (July 2024-Present),Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,CEO of Rockwell Collins,,"Safety culture transformation, production stability",,Organization_Foundation.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Dana Deasy,"Chief Information Digital Officer & SVP, IT & Data Analytics (December 2024-Present)",Technology,CIO/CTO,Executive Decision Maker,Yes,No,,U.S. Department of Defense CIO,,,,Organization_Foundation.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Todd K. Citron,Chief Technology Officer,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,"Digital transformation, advanced manufacturing",,Organization_Foundation.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: Chief Technology Officer role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Brian West,Executive Vice President & CFO,Finance,CFO,Ultimate Decision Maker,Yes,Yes,,CFO of Refinitiv,,,,Organization_Foundation.md,0.9,100,M&A relevance: CFO role,75,Ransomware impact: CFO role,Priority 1,Lead with financial risk quantification and M&A valuation impact,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Stephanie Pope,"President & CEO, Boeing Commercial Airplanes",Sales,CEO/President,Ultimate Decision Maker,Yes,Yes,,COO of Boeing Global Services,,,,Organization_Foundation.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Manufacturing Innovation,Smart factory implementations,Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Organization_Foundation.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Headquarters & Global Footprint,"Global Headquarters**: Arlington, Virginia (relocated from Chicago in 2022)",Executive,Other,Stakeholder,No,No,,,ms,,,Organization_Foundation.md,0.9,30,M&A relevance: Other position,30,Ransomware impact: Other position,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Industry Consortiums,Aerospace Industries Association**: Board leadership,Executive,Board Member,Stakeholder,No,No,,,,,,Organization_Foundation.md,0.9,80,M&A relevance: Board Member position,30,Ransomware impact: General stakeholder,Priority 2,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Month 2: Trust Building,CISO advisory board invitation,Security,CISO,Executive Decision Maker,No,No,,,,,,Engagement_Strategy.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,SpaceX (Space Systems),"Disruption Factors: 10x cost reduction, rapid iteration, vertical integration",Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,"New space cybersecurity standards, orbital asset protection",Strategic_Context.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Supply Chain Transformation,Onboard 500+ new suppliers for resilience,Executive,Board Member,Stakeholder,No,No,,,ms,,,Strategic_Context.md,0.9,80,M&A relevance: Board Member position,30,Ransomware impact: General stakeholder,Priority 2,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-001457,Boeing,veteran with 35+ years experience,,,"170,000+",,Technology Risks,"Cybersecurity threats: Nation-state actors, ransomware, IP theft",Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Strategic_Context.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Kenneth W. McDuffie,Chief Executive Officer (2024-present),Executive,CEO/President,Executive Decision Maker,Yes,Yes,,ly served in executive roles at major agricultural companies,,on operational excellence and sustainable growth,,Organization_Foundation.md,0.9,35,M&A relevance: Mid-size company,30,Ransomware impact: General stakeholder,Priority 5,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Elaine Wood,"Senior Vice President, CFO and Treasurer",Finance,CFO,Ultimate Decision Maker,Yes,Yes,,,,,,Organization_Foundation.md,0.9,100,"M&A relevance: CFO role, Mid-size company",75,Ransomware impact: CFO role,Priority 1,Lead with financial risk quantification and M&A valuation impact,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Derek Pridgen,"Vice President, Agricultural Operations",Operations,VP,Ultimate Decision Maker,Yes,Yes,,,,,,Organization_Foundation.md,0.9,90,"M&A relevance: President role, Mid-size company",40,Ransomware impact: Operational responsibility,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,David Pelham,"Vice President, Packaging and Clewiston Refinery",Executive,VP,Ultimate Decision Maker,Yes,Yes,,,ms,,,Organization_Foundation.md,0.9,90,"M&A relevance: President role, Mid-size company",30,Ransomware impact: General stakeholder,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
